product_name,fat_100g,carbohydrates_100g,proteins_100g,carb_classifier,insulin_intake
Orange Juice,0.0,10.76,0.8,0,0.7
Lasanha Bolonhesa fresca,9.0,13.0,9.0,0,0.9
Garlic Primavera Risotto,1.89,73.58,9.43,2,4.9
Gazpacho Cold Soup,0.61,4.86,0.81,0,0.3
Banana,1.07,78.57,0.0,2,5.2
Black Forest Gelato,5.0,18.89,2.22,0,1.3
Carrot Cake & Frosting Mix,0.0,87.72,5.26,2,5.8
Chocolate Chip Muffin,19.47,50.44,4.42,1,3.4
Compot' Pomme,0.1,15.0,0.3,0,1.0
Nutella & Go,26.0,60.8,7.12,2,4.1
Apple,23.6,39.9,3.8,1,2.7
"Super SRoot Beer,0.0,12.92,0.0,0,0.9		"
